equipments,url
Soap molds,
Soap Mold Hearts,http://shrsl.com/3dtmz
Soap Mold Roses,https://sovrn.co/l310z7j
Immersion blender,https://tidd.ly/3Owh0vn
Pyrex/Stainless steel bowl,https://www.pntrac.com/t/TUJGRkxGTEJHRklHTUpCRktHSEhK?sid=alimapure-lipstick-set&url=https%3A%2F%2Fwww.alimapure.com%2Fcollections%2Fsets%2Fproducts%2Fthe-lipstick-set
Heat-proof jug for lye solution,
Pitcher,
Digital scale,
Measuring spoons,
Kitchen thermometer,
Rubber spatulas,
Small strainer,
Cup (for after trace ingredients),
Safety Mask,
Safety Goggles,
Safety Gloves,
